seed_name,base_seed,ratio_name,ratio_value,subset_seed,family_label,recording_group_id,selection_rank
seed2,9413,train100,1.0,10513,二胡,ccm_erhu_G0043,0
seed2,9413,train100,1.0,10513,二胡,ccm_erhu_G0042,1
seed2,9413,train100,1.0,10513,二胡,ccm_erhu_G0016,2
seed2,9413,train100,1.0,10513,二胡,ccm_erhu_G0039,3
seed2,9413,train100,1.0,10513,二胡,ccm_erhu_G0013,4
seed2,9413,train100,1.0,10513,二胡,ccm_erhu_G0010,5
seed2,9413,train100,1.0,10513,二胡,ccm_erhu_G0004,6
seed2,9413,train100,1.0,10513,二胡,ccm_erhu_G0046,7
seed2,9413,train100,1.0,10513,二胡,ccm_erhu_G0040,8
seed2,9413,train100,1.0,10513,二胡,ccm_erhu_G0006,9
seed2,9413,train100,1.0,10513,二胡,ccm_erhu_G0021,10
seed2,9413,train100,1.0,10513,二胡,ccm_erhu_G0041,11
seed2,9413,train100,1.0,10513,二胡,ccm_erhu_G0007,12
seed2,9413,train100,1.0,10513,二胡,ccm_erhu_G0015,13
seed2,9413,train100,1.0,10513,二胡,ccm_erhu_G0002,14
seed2,9413,train100,1.0,10513,二胡,ccm_erhu_G0029,15
seed2,9413,train100,1.0,10513,二胡,ccm_erhu_G0018,16
seed2,9413,train100,1.0,10513,二胡,ccm_erhu_G0053,17
seed2,9413,train100,1.0,10513,二胡,ccm_erhu_G0012,18
seed2,9413,train100,1.0,10513,二胡,ccm_erhu_G0036,19
seed2,9413,train100,1.0,10513,二胡,ccm_erhu_G0020,20
seed2,9413,train100,1.0,10513,二胡,ccm_erhu_G0037,21
seed2,9413,train100,1.0,10513,二胡,ccm_erhu_G0056,22
seed2,9413,train100,1.0,10513,二胡,ccm_erhu_G0027,23
seed2,9413,train100,1.0,10513,二胡,ccm_erhu_G0003,24
seed2,9413,train100,1.0,10513,二胡,ccm_erhu_G0050,25
seed2,9413,train100,1.0,10513,二胡,ccm_erhu_G0011,26
seed2,9413,train100,1.0,10513,二胡,ccm_erhu_G0052,27
seed2,9413,train100,1.0,10513,二胡,ccm_erhu_G0019,28
seed2,9413,train100,1.0,10513,二胡,ccm_erhu_G0028,29
seed2,9413,train100,1.0,10513,二胡,ccm_erhu_G0055,30
seed2,9413,train100,1.0,10513,琵琶,ccm_pipa_G0004,0
seed2,9413,train100,1.0,10513,琵琶,ccm_pipa_G0009,1
seed2,9413,train100,1.0,10513,琵琶,ccm_pipa_G0011,2
seed2,9413,train100,1.0,10513,琵琶,ccm_pipa_G0013,3
seed2,9413,train100,1.0,10513,琵琶,ccm_pipa_G0027,4
seed2,9413,train100,1.0,10513,琵琶,ccm_pipa_G0025,5
seed2,9413,train100,1.0,10513,琵琶,ccm_pipa_G0002,6
seed2,9413,train100,1.0,10513,琵琶,ccm_pipa_G0023,7
seed2,9413,train100,1.0,10513,琵琶,ccm_pipa_G0003,8
seed2,9413,train100,1.0,10513,琵琶,ccm_pipa_G0019,9
seed2,9413,train100,1.0,10513,琵琶,ccm_pipa_G0014,10
seed2,9413,train100,1.0,10513,琵琶,ccm_pipa_G0026,11
seed2,9413,train100,1.0,10513,中阮,ccm_zhongruan_G0004,0
seed2,9413,train100,1.0,10513,中阮,ccm_zhongruan_G0020,1
seed2,9413,train100,1.0,10513,中阮,ccm_zhongruan_G0023,2
seed2,9413,train100,1.0,10513,中阮,ccm_zhongruan_G0022,3
seed2,9413,train100,1.0,10513,中阮,ccm_zhongruan_G0018,4
seed2,9413,train100,1.0,10513,中阮,ccm_zhongruan_G0008,5
seed2,9413,train100,1.0,10513,中阮,ccm_zhongruan_G0025,6
seed2,9413,train100,1.0,10513,中阮,ccm_zhongruan_G0012,7
seed2,9413,train100,1.0,10513,中阮,ccm_zhongruan_G0015,8
seed2,9413,train100,1.0,10513,中阮,ccm_zhongruan_G0017,9
seed2,9413,train100,1.0,10513,中阮,ccm_zhongruan_G0019,10
seed2,9413,train100,1.0,10513,中阮,ccm_zhongruan_G0026,11
seed2,9413,train100,1.0,10513,中阮,ccm_zhongruan_G0007,12
seed2,9413,train100,1.0,10513,笛子,ccm_dizi_G0031,0
seed2,9413,train100,1.0,10513,笛子,ccm_dizi_G0016,1
seed2,9413,train100,1.0,10513,笛子,ccm_dizi_G0007,2
seed2,9413,train100,1.0,10513,笛子,ccm_dizi_G0013,3
seed2,9413,train100,1.0,10513,笛子,ccm_dizi_G0006,4
seed2,9413,train100,1.0,10513,笛子,ccm_dizi_G0039,5
