record_id,source_dataset,source_path,file_name,file_ext,raw_dir_label,scan_status,mapped_family_label,drop_reason
ccm_000001,CCMusic,/Volumes/nvmeBU/CCMUSIC_CTIS/ccmusic_ctis_audio/A调曲笛/【A调曲笛】 乐曲片段 《鹧鸪飞》.wav,【A调曲笛】 乐曲片段 《鹧鸪飞》.wav,.wav,A调曲笛,in_scope,笛子,
ccm_000002,CCMusic,/Volumes/nvmeBU/CCMUSIC_CTIS/ccmusic_ctis_audio/A调曲笛/【A调曲笛】 演奏技法 三吐 第一遍.wav,【A调曲笛】 演奏技法 三吐 第一遍.wav,.wav,A调曲笛,in_scope,笛子,
ccm_000003,CCMusic,/Volumes/nvmeBU/CCMUSIC_CTIS/ccmusic_ctis_audio/A调曲笛/【A调曲笛】 演奏技法 单吐 第一遍.wav,【A调曲笛】 演奏技法 单吐 第一遍.wav,.wav,A调曲笛,in_scope,笛子,
ccm_000004,CCMusic,/Volumes/nvmeBU/CCMUSIC_CTIS/ccmusic_ctis_audio/A调曲笛/【A调曲笛】 演奏技法 厉音  第一遍.wav,【A调曲笛】 演奏技法 厉音  第一遍.wav,.wav,A调曲笛,in_scope,笛子,
ccm_000005,CCMusic,/Volumes/nvmeBU/CCMUSIC_CTIS/ccmusic_ctis_audio/A调曲笛/【A调曲笛】 演奏技法 双吐 第一遍.wav,【A调曲笛】 演奏技法 双吐 第一遍.wav,.wav,A调曲笛,in_scope,笛子,
ccm_000006,CCMusic,/Volumes/nvmeBU/CCMUSIC_CTIS/ccmusic_ctis_audio/A调曲笛/【A调曲笛】 演奏技法 叠音  第一遍.wav,【A调曲笛】 演奏技法 叠音  第一遍.wav,.wav,A调曲笛,in_scope,笛子,
ccm_000007,CCMusic,/Volumes/nvmeBU/CCMUSIC_CTIS/ccmusic_ctis_audio/A调曲笛/【A调曲笛】 演奏技法 循环换气  第一遍.wav,【A调曲笛】 演奏技法 循环换气  第一遍.wav,.wav,A调曲笛,in_scope,笛子,
ccm_000008,CCMusic,/Volumes/nvmeBU/CCMUSIC_CTIS/ccmusic_ctis_audio/A调曲笛/【A调曲笛】 演奏技法 打音  第一遍.wav,【A调曲笛】 演奏技法 打音  第一遍.wav,.wav,A调曲笛,in_scope,笛子,
ccm_000009,CCMusic,/Volumes/nvmeBU/CCMUSIC_CTIS/ccmusic_ctis_audio/A调曲笛/【A调曲笛】 演奏技法 指颤音  第一遍.wav,【A调曲笛】 演奏技法 指颤音  第一遍.wav,.wav,A调曲笛,in_scope,笛子,
ccm_000010,CCMusic,/Volumes/nvmeBU/CCMUSIC_CTIS/ccmusic_ctis_audio/A调曲笛/【A调曲笛】 演奏技法 泛音  第二遍.wav,【A调曲笛】 演奏技法 泛音  第二遍.wav,.wav,A调曲笛,in_scope,笛子,
ccm_000011,CCMusic,/Volumes/nvmeBU/CCMUSIC_CTIS/ccmusic_ctis_audio/A调曲笛/【A调曲笛】 演奏技法 滑音  第一遍.wav,【A调曲笛】 演奏技法 滑音  第一遍.wav,.wav,A调曲笛,in_scope,笛子,
ccm_000012,CCMusic,/Volumes/nvmeBU/CCMUSIC_CTIS/ccmusic_ctis_audio/A调曲笛/【A调曲笛】 演奏技法 花舌  第一遍.wav,【A调曲笛】 演奏技法 花舌  第一遍.wav,.wav,A调曲笛,in_scope,笛子,
ccm_000013,CCMusic,/Volumes/nvmeBU/CCMUSIC_CTIS/ccmusic_ctis_audio/A调曲笛/【A调曲笛】 筒音 自然衰减  力度弱 第二遍.wav,【A调曲笛】 筒音 自然衰减  力度弱 第二遍.wav,.wav,A调曲笛,in_scope,笛子,
ccm_000014,CCMusic,/Volumes/nvmeBU/CCMUSIC_CTIS/ccmusic_ctis_audio/A调曲笛/【A调曲笛】 筒音 自然衰减 力度中强 第一遍.wav,【A调曲笛】 筒音 自然衰减 力度中强 第一遍.wav,.wav,A调曲笛,in_scope,笛子,
ccm_000015,CCMusic,/Volumes/nvmeBU/CCMUSIC_CTIS/ccmusic_ctis_audio/A调曲笛/【A调曲笛】 筒音 自然衰减 力度强 第二遍.wav,【A调曲笛】 筒音 自然衰减 力度强 第二遍.wav,.wav,A调曲笛,in_scope,笛子,
ccm_000016,CCMusic,/Volumes/nvmeBU/CCMUSIC_CTIS/ccmusic_ctis_audio/A调曲笛/【A调曲笛】 音阶 自然衰减 力度中强 第二遍.wav,【A调曲笛】 音阶 自然衰减 力度中强 第二遍.wav,.wav,A调曲笛,in_scope,笛子,
ccm_000017,CCMusic,/Volumes/nvmeBU/CCMUSIC_CTIS/ccmusic_ctis_audio/A调曲笛/【A调曲笛】 音阶 速度慢 力度中强 第一遍.wav,【A调曲笛】 音阶 速度慢 力度中强 第一遍.wav,.wav,A调曲笛,in_scope,笛子,
ccm_000018,CCMusic,/Volumes/nvmeBU/CCMUSIC_CTIS/ccmusic_ctis_audio/A调曲笛/【A调曲笛】 音阶 速度慢 力度弱 第一遍.wav,【A调曲笛】 音阶 速度慢 力度弱 第一遍.wav,.wav,A调曲笛,in_scope,笛子,
ccm_000019,CCMusic,/Volumes/nvmeBU/CCMUSIC_CTIS/ccmusic_ctis_audio/A调曲笛/【A调曲笛】 音阶 速度慢 力度强 第一遍.wav,【A调曲笛】 音阶 速度慢 力度强 第一遍.wav,.wav,A调曲笛,in_scope,笛子,
ccm_000020,CCMusic,/Volumes/nvmeBU/CCMUSIC_CTIS/ccmusic_ctis_audio/F调巴乌/【F调巴乌】乐曲片段《哈尼山歌》.wav,【F调巴乌】乐曲片段《哈尼山歌》.wav,.wav,F调巴乌,out_of_scope,,subtype_out_of_scope
ccm_000021,CCMusic,/Volumes/nvmeBU/CCMUSIC_CTIS/ccmusic_ctis_audio/F调巴乌/【F调巴乌】乐曲片段《竹楼情歌》.wav,【F调巴乌】乐曲片段《竹楼情歌》.wav,.wav,F调巴乌,out_of_scope,,subtype_out_of_scope
ccm_000022,CCMusic,/Volumes/nvmeBU/CCMUSIC_CTIS/ccmusic_ctis_audio/F调巴乌/【F调巴乌】演奏技法 三吐 第二遍.wav,【F调巴乌】演奏技法 三吐 第二遍.wav,.wav,F调巴乌,out_of_scope,,subtype_out_of_scope
ccm_000023,CCMusic,/Volumes/nvmeBU/CCMUSIC_CTIS/ccmusic_ctis_audio/F调巴乌/【F调巴乌】演奏技法 单吐 第一遍.wav,【F调巴乌】演奏技法 单吐 第一遍.wav,.wav,F调巴乌,out_of_scope,,subtype_out_of_scope
ccm_000024,CCMusic,/Volumes/nvmeBU/CCMUSIC_CTIS/ccmusic_ctis_audio/F调巴乌/【F调巴乌】演奏技法 双吐 第一遍.wav,【F调巴乌】演奏技法 双吐 第一遍.wav,.wav,F调巴乌,out_of_scope,,subtype_out_of_scope
ccm_000025,CCMusic,/Volumes/nvmeBU/CCMUSIC_CTIS/ccmusic_ctis_audio/F调巴乌/【F调巴乌】演奏技法 叠音 第一遍.wav,【F调巴乌】演奏技法 叠音 第一遍.wav,.wav,F调巴乌,out_of_scope,,subtype_out_of_scope
ccm_000026,CCMusic,/Volumes/nvmeBU/CCMUSIC_CTIS/ccmusic_ctis_audio/F调巴乌/【F调巴乌】演奏技法 屈指颤音 第一遍 .wav,【F调巴乌】演奏技法 屈指颤音 第一遍 .wav,.wav,F调巴乌,out_of_scope,,subtype_out_of_scope
