record_id,sample_id,source_dataset,family_label,split_seed,split,segment_id,segment_index,start_time_sec,end_time_sec,segment_path,is_padded,overlap_ratio,selection_method,active_frame_ratio
ccm_000001,ccm_dizi_0001,CCMusic,笛子,0,train,ccm_dizi_0001_s00,0,0.0,5.0,train/ccm_dizi_0001_s00.wav,false,0.0,all_after_energy_filter_and_concentration_cap,0.644578
ccm_000001,ccm_dizi_0001,CCMusic,笛子,0,train,ccm_dizi_0001_s01,1,5.0,10.0,train/ccm_dizi_0001_s01.wav,false,0.0,all_after_energy_filter_and_concentration_cap,0.75502
ccm_000001,ccm_dizi_0001,CCMusic,笛子,0,train,ccm_dizi_0001_s02,2,10.0,15.0,train/ccm_dizi_0001_s02.wav,false,0.0,all_after_energy_filter_and_concentration_cap,0.748996
ccm_000001,ccm_dizi_0001,CCMusic,笛子,0,train,ccm_dizi_0001_s03,3,15.0,20.0,train/ccm_dizi_0001_s03.wav,false,0.0,all_after_energy_filter_and_concentration_cap,0.881526
ccm_000001,ccm_dizi_0001,CCMusic,笛子,0,train,ccm_dizi_0001_s04,4,20.0,25.0,train/ccm_dizi_0001_s04.wav,false,0.0,all_after_energy_filter_and_concentration_cap,0.921687
ccm_000006,ccm_dizi_0006,CCMusic,笛子,0,train,ccm_dizi_0006_s00,0,0.0,5.0,train/ccm_dizi_0006_s00.wav,false,0.0,all_after_energy_filter_and_concentration_cap,0.218876
ccm_000006,ccm_dizi_0006,CCMusic,笛子,0,train,ccm_dizi_0006_s01,1,5.0,10.0,train/ccm_dizi_0006_s01.wav,false,0.0,all_after_energy_filter_and_concentration_cap,0.769076
ccm_000006,ccm_dizi_0006,CCMusic,笛子,0,train,ccm_dizi_0006_s02,2,10.0,15.0,train/ccm_dizi_0006_s02.wav,false,0.0,all_after_energy_filter_and_concentration_cap,0.753012
ccm_000007,ccm_dizi_0007,CCMusic,笛子,0,train,ccm_dizi_0007_s00,0,0.0,5.0,train/ccm_dizi_0007_s00.wav,false,0.0,all_after_energy_filter_and_concentration_cap,0.664659
ccm_000008,ccm_dizi_0008,CCMusic,笛子,0,val,ccm_dizi_0008_s00,0,0.0,5.0,val/ccm_dizi_0008_s00.wav,false,0.0,all_after_energy_filter_and_concentration_cap,0.534137
ccm_000008,ccm_dizi_0008,CCMusic,笛子,0,val,ccm_dizi_0008_s01,1,5.0,10.0,val/ccm_dizi_0008_s01.wav,false,0.0,all_after_energy_filter_and_concentration_cap,0.795181
