seed_name,base_seed,ratio_name,ratio_value,subset_seed,segment_id,sample_id,record_id,recording_group_id,family_label,split
seed0,3407,train10,0.1,4417,ccm_dizi_0016_s00,ccm_dizi_0016,ccm_000016,ccm_dizi_G0016,笛子,train
seed0,3407,train10,0.1,4417,ccm_dizi_0016_s01,ccm_dizi_0016,ccm_000016,ccm_dizi_G0016,笛子,train
seed0,3407,train10,0.1,4417,ccm_dizi_0016_s02,ccm_dizi_0016,ccm_000016,ccm_dizi_G0016,笛子,train
seed0,3407,train10,0.1,4417,ccm_dizi_0016_s03,ccm_dizi_0016,ccm_000016,ccm_dizi_G0016,笛子,train
seed0,3407,train10,0.1,4417,ccm_dizi_0016_s04,ccm_dizi_0016,ccm_000016,ccm_dizi_G0016,笛子,train
seed0,3407,train10,0.1,4417,ccm_dizi_0016_s05,ccm_dizi_0016,ccm_000016,ccm_dizi_G0016,笛子,train
seed0,3407,train10,0.1,4417,ccm_dizi_0016_s06,ccm_dizi_0016,ccm_000016,ccm_dizi_G0016,笛子,train
seed0,3407,train10,0.1,4417,ccm_dizi_0016_s07,ccm_dizi_0016,ccm_000016,ccm_dizi_G0016,笛子,train
seed0,3407,train10,0.1,4417,ccm_dizi_0044_s00,ccm_dizi_0044,ccm_000084,ccm_dizi_G0032,笛子,train
seed0,3407,train10,0.1,4417,ccm_dizi_0044_s01,ccm_dizi_0044,ccm_000084,ccm_dizi_G0032,笛子,train
seed0,3407,train10,0.1,4417,ccm_dizi_0044_s02,ccm_dizi_0044,ccm_000084,ccm_dizi_G0032,笛子,train
seed0,3407,train10,0.1,4417,ccm_dizi_0044_s03,ccm_dizi_0044,ccm_000084,ccm_dizi_G0032,笛子,train
seed0,3407,train10,0.1,4417,ccm_dizi_0044_s04,ccm_dizi_0044,ccm_000084,ccm_dizi_G0032,笛子,train
seed0,3407,train10,0.1,4417,ccm_dizi_0045_s00,ccm_dizi_0045,ccm_000085,ccm_dizi_G0032,笛子,train
seed0,3407,train10,0.1,4417,ccm_dizi_0045_s01,ccm_dizi_0045,ccm_000085,ccm_dizi_G0032,笛子,train
seed0,3407,train10,0.1,4417,ccm_dizi_0045_s02,ccm_dizi_0045,ccm_000085,ccm_dizi_G0032,笛子,train
seed0,3407,train10,0.1,4417,ccm_dizi_0045_s03,ccm_dizi_0045,ccm_000085,ccm_dizi_G0032,笛子,train
seed0,3407,train10,0.1,4417,ccm_dizi_0045_s04,ccm_dizi_0045,ccm_000085,ccm_dizi_G0032,笛子,train
seed0,3407,train10,0.1,4417,ccm_dizi_0048_s00,ccm_dizi_0048,ccm_000088,ccm_dizi_G0034,笛子,train
seed0,3407,train10,0.1,4417,ccm_dizi_0048_s01,ccm_dizi_0048,ccm_000088,ccm_dizi_G0034,笛子,train
seed0,3407,train10,0.1,4417,ccm_dizi_0048_s02,ccm_dizi_0048,ccm_000088,ccm_dizi_G0034,笛子,train
seed0,3407,train10,0.1,4417,ccm_dizi_0048_s03,ccm_dizi_0048,ccm_000088,ccm_dizi_G0034,笛子,train
seed0,3407,train10,0.1,4417,ccm_dizi_0049_s00,ccm_dizi_0049,ccm_000089,ccm_dizi_G0034,笛子,train
seed0,3407,train10,0.1,4417,ccm_dizi_0049_s01,ccm_dizi_0049,ccm_000089,ccm_dizi_G0034,笛子,train
seed0,3407,train10,0.1,4417,ccm_erhu_0001_s00,ccm_erhu_0001,ccm_000615,ccm_erhu_G0001,二胡,train
seed0,3407,train10,0.1,4417,ccm_erhu_0001_s01,ccm_erhu_0001,ccm_000615,ccm_erhu_G0001,二胡,train
seed0,3407,train10,0.1,4417,ccm_erhu_0001_s02,ccm_erhu_0001,ccm_000615,ccm_erhu_G0001,二胡,train
