seed_name,base_seed,ratio_name,ratio_value,subset_seed,family_label,recording_group_id,selection_rank
seed1,2027,train50,0.5,3077,二胡,ccm_erhu_G0046,0
seed1,2027,train50,0.5,3077,二胡,ccm_erhu_G0008,1
seed1,2027,train50,0.5,3077,二胡,ccm_erhu_G0044,2
seed1,2027,train50,0.5,3077,二胡,ccm_erhu_G0036,3
seed1,2027,train50,0.5,3077,二胡,ccm_erhu_G0016,4
seed1,2027,train50,0.5,3077,二胡,ccm_erhu_G0045,5
seed1,2027,train50,0.5,3077,二胡,ccm_erhu_G0040,6
seed1,2027,train50,0.5,3077,二胡,ccm_erhu_G0018,7
seed1,2027,train50,0.5,3077,二胡,ccm_erhu_G0009,8
seed1,2027,train50,0.5,3077,二胡,ccm_erhu_G0037,9
seed1,2027,train50,0.5,3077,二胡,ccm_erhu_G0027,10
seed1,2027,train50,0.5,3077,二胡,ccm_erhu_G0017,11
seed1,2027,train50,0.5,3077,二胡,ccm_erhu_G0042,12
seed1,2027,train50,0.5,3077,二胡,ccm_erhu_G0056,13
seed1,2027,train50,0.5,3077,二胡,ccm_erhu_G0052,14
seed1,2027,train50,0.5,3077,二胡,ccm_erhu_G0032,15
seed1,2027,train50,0.5,3077,琵琶,ccm_pipa_G0014,0
seed1,2027,train50,0.5,3077,琵琶,ccm_pipa_G0007,1
seed1,2027,train50,0.5,3077,琵琶,ccm_pipa_G0013,2
seed1,2027,train50,0.5,3077,琵琶,ccm_pipa_G0010,3
seed1,2027,train50,0.5,3077,琵琶,ccm_pipa_G0026,4
seed1,2027,train50,0.5,3077,琵琶,ccm_pipa_G0008,5
seed1,2027,train50,0.5,3077,中阮,ccm_zhongruan_G0017,0
seed1,2027,train50,0.5,3077,中阮,ccm_zhongruan_G0004,1
seed1,2027,train50,0.5,3077,中阮,ccm_zhongruan_G0012,2
seed1,2027,train50,0.5,3077,中阮,ccm_zhongruan_G0010,3
seed1,2027,train50,0.5,3077,中阮,ccm_zhongruan_G0024,4
seed1,2027,train50,0.5,3077,中阮,ccm_zhongruan_G0020,5
seed1,2027,train50,0.5,3077,中阮,ccm_zhongruan_G0019,6
seed1,2027,train50,0.5,3077,笛子,ccm_dizi_G0029,0
seed1,2027,train50,0.5,3077,笛子,ccm_dizi_G0037,1
seed1,2027,train50,0.5,3077,笛子,ccm_dizi_G0030,2
seed1,2027,train50,0.5,3077,笛子,ccm_dizi_G0043,3
seed1,2027,train50,0.5,3077,笛子,ccm_dizi_G0010,4
seed1,2027,train50,0.5,3077,笛子,ccm_dizi_G0022,5
seed1,2027,train50,0.5,3077,笛子,ccm_dizi_G0019,6
seed1,2027,train50,0.5,3077,笛子,ccm_dizi_G0012,7
seed1,2027,train50,0.5,3077,笛子,ccm_dizi_G0035,8
seed1,2027,train50,0.5,3077,笛子,ccm_dizi_G0017,9
seed1,2027,train50,0.5,3077,笛子,ccm_dizi_G0032,10
seed1,2027,train50,0.5,3077,笛子,ccm_dizi_G0006,11
seed1,2027,train50,0.5,3077,唢呐,ccm_suona_G0017,0
seed1,2027,train50,0.5,3077,唢呐,ccm_suona_G0060,1
seed1,2027,train50,0.5,3077,唢呐,ccm_suona_G0027,2
seed1,2027,train50,0.5,3077,唢呐,ccm_suona_G0029,3
seed1,2027,train50,0.5,3077,唢呐,ccm_suona_G0107,4
seed1,2027,train50,0.5,3077,唢呐,ccm_suona_G0005,5
seed1,2027,train50,0.5,3077,唢呐,ccm_suona_G0003,6
seed1,2027,train50,0.5,3077,唢呐,ccm_suona_G0021,7
seed1,2027,train50,0.5,3077,唢呐,ccm_suona_G0043,8
seed1,2027,train50,0.5,3077,唢呐,ccm_suona_G0015,9
